Key,Description,Standard,ENG
SAY.Gem.1.克洛托,,祝贺你，成功改变了命运。,Congratulations
SAY.Gem.2.GEM,,太感谢你了,Thank you so much!!
SAY.Gem.28.GEM,,被一个恶棍拥有，流入黑市，或者被烧成灰烬，这太可怕了,Owned by a villain
SAY.Gem.3.克洛托,,所以我借给你编织命运的力量。,So I lend you the power to weave destiny
SAY.Gem.18.克洛托,,作为对你帮助的交换...,In exchange for helping you...
SAY.Gem.19.克洛托,,我会给你一段时间享受你在博物馆的生活，但剩下时间的是属于我的了。,I will give you some time to enjoy your life in the museum
SAY.Gem.26.,,某一天——,One day
SAY.Gem.35.,,又有新朋友了,New friends again
SAY.Gem.37.,,克洛托这招真是屡试不爽,Croto's trick is really time-tested
SAY.Gem.17.,,看着周围一堆的宝石,Looking at the piles of gems
SAY.Gem.39.,,你感觉自己再也出不去了,you feel like you can’t get out anymore
SAY.Guard.8.,,深夜，图书馆二层，储藏室门口。,Late at night
SAY.Guard.112.守卫,,我是一个守卫。,I am a guard
SAY.Guard.248.克洛托,,我可以帮你加快时间，你想直接进入选择吗,I can help you speed up the time
MENU.Guard.237,,直接进入选择,Sure
MENU.Guard.247,,不用了，谢谢,No thanks
SAY.Guard.121.,,左侧口袋中有一剂{b}药粉{/b}。,There is a dose of powder in the left pocket
SAY.Guard.14.,,淡淡的草药香，提神醒脑。,This poison has a slight herbal fragrance
SAY.Guard.118.,,谨慎！感冒患者切忌与{b}酒{/b}同时服用,Cautious! Cold patients should not take it with alcohol at the same time
SAY.Guard.251.,,或可引发严重的头晕、无力、意识混乱, or they'll experience a period of drowsiness and confusion
SAY.Guard.114.守卫,,妻子长得很漂亮。,My wife is very beautiful
SAY.Guard.119.守卫,,她最近一直在家，但是她得了流感。,She has been at home recently
SAY.Guard.228.守卫,,有人传染给了她，而且他也是一个守卫。,Someone infected her and he is also a guard
SAY.Guard.255.守卫,,我不会放过他的，我有一个间接报复的方法,This isn't the end.
SAY.Guard.229.守卫,,如果那个护士从他手底下逃跑\n\n,If the nurse escapes from his surveillance
SAY.Guard.104.守卫,,那么老板看到他醉成那样{w=1.0s}，不用经过我的手，就能让他直接滚蛋。,The boss would think he is so drunk and kick him out
MENU.Guard.19,,下楼,Go to teh first floor
SAY.Guard.31.,,最有可能的是位置是书房。,The most likely hiding place is the study room
SAY.Guard.166.,,但老板怕有人私吞，除了他没人能进去。,But the boss is afraid that someone will embezzle the property
SAY.Guard.32.守卫,,过道。,Walk though the aisle
MENU.Guard.68,,去前面看看,Go ahead
MENU.Guard.47,,继续巡视,Keep patrolling
SAY.Guard.103.,,一张木桌, A wooden table
MENU.Guard.50,,检视桌子,View table
SAY.Guard.53.守卫,,桌上放着一桶新鲜的啤酒和数个啤酒杯。,There is a barrel of fresh beer and several beer glasses on the table
SAY.Guard.169.,,守卫们没事的时候来这里小酌一杯提神。,The guards come here for a refreshing drink when they are bored
MENU.Guard.54,,继续巡视,Keep patrolling
SAY.Guard.56.守卫,,后门,The back door
SAY.Guard.59.,,门外有了响动，你回头一看，下一班轮岗的守卫来了。,There is a noise outside the door. You look back and see that 
MENU.Guard.84,,上前一步,Step forward
SAY.Guard.70.,,图书馆的正厅除了中间的一块面积是空出来的，其余密布着高耸的书架。,Except for the area in the middle of the main hall of the library
SAY.Guard.252.,,上方悬挂着华丽的吊灯，亮得有些刺眼,There is a gorgeous chandelier hanging above
SAY.Guard.95.守卫,,噢....,Oh...
SAY.Guard.226.守卫,,就是他。,It's him
SAY.Guard.87.Fred,,嘿，说你呢！到点了，赶紧走。,Hey! It's time
SAY.Guard.96.,,你走开了，,You go away
SAY.Guard.225.,,现在这里没有别人。,No one else here now
MENU.Guard.132,,靠近桌子,Walk towards the table
MENU.Guard.133,,往杯中加入药,Pour the powder into the glasses
MENU.Guard.134,,不加,No
SAY.Guard.136.,,我将一些药剂倒入每个酒杯。,I pour the powder into the beer glasses
SAY.Guard.138.守卫,,算了。这次放他一马,Never mind
SAY.Guard.168.守卫,,人生在世，没什么不能忍的。,There is nothing unbearable in life
SAY.Guard.139.守卫,,我离开了图书馆。,I left the library
SAY.Guard.235.守卫,,我感觉好像跳过了什么？,I feel like I skipped something?
SAY.Guard.249.克洛托,,你会直接进入选择的阶段,You will directly enter the choices
SAY.Guard.241.守卫,,老板命令我看守这个女孩,The boss ordered me to guard this girl
SAY.Guard.242.守卫,,并拷问出月光宝石的下落。,And tortured the whereabouts of the moonlight gem
SAY.Guard.243.守卫,,可要说那女孩嘴可真严，几天了都没有招,---
SAY.Guard.244.守卫,,算了，在交班之前我还有别的事要确认。,Forget it
MENU.Guard.245,,检查随身物品,Check your spocket
SAY.Thief.186.,,宝石会藏在哪里呢...,Where it could be hidden...
SAY.Thief.259.不重要的守卫 B,,是谁！,Who is it!
SAY.Thief.7.,,我一瞬间闪身躲了起来，纵身一跃，趴在房梁上。,I dodged and hid for a moment
SAY.Thief.107.,,吊灯上的玻璃珠子反射着璀璨的光线，在月光的照拂下更是莹莹发光。,The glass beads on the chandelier reflect the bright light
SAY.Thief.13.,,风险太大，万一引来守卫，我很难脱身。,Too risky. If the guards are attracted
SAY.Thief.40.,,要不要用钩锁打破酒瓶，分散他们的注意...,Should I break the bottle with a hook to distract them
MENU.Thief.257,,不砸,No
MENU.Thief.258,,砸破酒瓶,Break the glasses
SAY.Thief.246.,,现在随时都有被发现的危险，,Now I might be discovered at any time
SAY.Thief.247.,,先进电闸房把大厅的电路关掉，这样在黑暗中就能自由行动了,First enter the switch room and turn off the circuit in the hall
SAY.Thief.262.小偷,,找到了，开关就在这里。,Found it
MENU.Thief.222,,关闭电闸,Turn off the switch
MENU.Thief.169,,先去书房,Go to the study first
MENU.Thief.170,,先找电闸房,Go to the switch room first
SAY.Thief.263.小偷,,据说这里有一块宝石，可以换一大笔筹码,
SAY.Thief.264.小偷,,但是麻烦的是这些看守的家伙,
SAY.Thief.265.小偷,,根据我的经验，宝石藏在二层书房可能性比较大。,I guess the gem is more likely to be hidden in the study on the second floor. Rich people normaly do this.
SAY.Thief.266.小偷,,其他的房间都被这些守卫搜过了，剩下的可能是在一层的大厅中。,The other rooms have been searched by these guards
MENU.Thief.114,,在储存间等待时机,Wait in the room
MENU.Thief.153,,Option Text,
SAY.Thief.183.小偷,,档案室里有些奇怪的声音。,Some strange noises in the next room
SAY.Thief.184.小偷,,小心点贴着墙过去。,Sneak
SAY.Thief.238.小偷,,我抓住了金属链子，跳上了吊灯。,I grab the metal chain and jump on the chandelier
SAY.Thief.241.,,吊灯整个掉了下去。,The chandelier fall off
SAY.Thief.143.,,蓝色的光芒，其中的一颗尤为炫目。它巧妙地隐藏在月光中。,One of them is particularly dazzling. It is cleverly hidden in the moonlight
SAY.Thief.261.小偷,,太漂亮了...,Amazing
SAY.Thief.229.小偷,,难怪一直没有人能找到！,No wonder nobody found it for a long time
SAY.Thief.227.,,如果不是这突然的黑暗让它绽放光芒，它就像吊灯上镶嵌的一粒玻璃。,If it weren’t for the sudden darkness to make it shine
SAY.Thief.228.小偷,,我可以用钩锁抓住吊灯的顶部,I can grab the top of the chandelier with the hook
SAY.Thief.232.小偷,,然后跳上去摘下宝石。,and then jump up to pick up the gems
SAY.Thief.231.小偷,,或者把吊灯整个扯下来，趁守卫聚集在下面时砸晕他们。,Or
MENU.Thief.142,,跳上吊灯,Jump on the chandelier
MENU.Thief.145,,让吊灯砸下去。,Let the chandelier drop
SAY.Thief.155.,,守卫太多了，目前我无法将他们引开。,Guards are on duty. I can’t distract them at the moment
SAY.Thief.160.小偷,,蓝色的宝石在上空闪闪发光。,The blue gem is shining
SAY.Thief.226.,,最后看了它一眼，在守卫冲过来之前从窗户跳了出去。,...
SAY.Thief.174.,,亲爱的弟弟，我知道你会独自来这里，不让任何人有可能偷走你的利益。,Dear brother
SAY.Thief.200.,,至于宝石，我没有赠给别人，以防他们遭到你的黑手。,As for the gem
SAY.Thief.201.,,就让它被掩埋在无人知道的角落好了。,
MENU.Thief.204,,翻到背面,Turn the letter to the back
SAY.Thief.178.,,嘭——整个图书馆瞬间暗了下来，只有幽蓝的月光从窗外溜进。,Boom——The whole library was darkened in an instant
MENU.Thief.176,,离开房间,Sneak out the room
SAY.Thief.188.,,翻了翻沙发。,Check the lounge
SAY.Thief.190.,,甚么也没有,Nothing
SAY.Thief.192.,,掀开了地毯。,Lifted the carpet
SAY.Thief.196.,,掀开了地毯。,Lifted the carpet
SAY.Thief.197.,,桌上似乎放着一封信。,There seems to be a letter on the table
MENU.Thief.199,,读信,Read the Letter
SAY.Thief.209.,,对只看得见它的财富价值的人,For those who only care about how much it is worth
SAY.Thief.210.,,打着最亮的手电筒，也永远都找不到它。,even with the brightest flashlight
SAY.Thief.213.小偷,,它的价值...,It's value...
SAY.Thief.224.小偷,,最亮的手电筒...,the brightest...
SAY.Thief.225.小偷,,似乎明白了什么。,
MENU.Thief.212,,继续搜查书房,Continue to search in the study
MENU.Thief.214,,离开书房,Sneak out the study
SAY.Thief.216.,,撬开锁，贴着门缝闪进了书房中。,Prying open the lock
SAY.Thief.279.小偷,,我感觉好像跳过了什么？,I feel like I skipped something
SAY.MainChart.48.,,Select your preferred language\n请选择你偏好的语言,
MENU.MainChart.47,,English,
MENU.MainChart.52,,中文,
MENU.MainChart.113,,Guard,
MENU.MainChart.122,,Nurse,
